path,candidate_transport,has_transport,has_information,has_return_cell,has_receipt,has_admitted
artifacts/json/g900_six_nine_source_limit_return_span_selector_017.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_source_limit_strata_anatomy_018.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_strong_packet_candidate_rowset_export_052.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_strong_packet_reflection_filter_050.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_strong_packet_rowset_locator_047.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_strong_packet_sample_predicate_microscope_049.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_strong_packet_scalar_provenance_048.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_strong_packet_two_stage_filter_051.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_support_failure_table_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_surface_quotient_identity_map_062.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_target_only_signature_selector_037.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_target_only_source_family_signature_036.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_trace_classification_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_true_source_endpoint_family_anatomy_035.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_two_route_half_turn_audit_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_slot12_composite_triangle_anatomy_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_slot_carrier_census_v0.1.json,False,False,False,False,False,False
artifacts/json/g900_slot_internal_carriers_admission_v0.1.json,False,False,False,False,False,True
artifacts/json/g900_slot_pair_boundary_carrier_census_v0.1.json,False,False,False,False,False,False
artifacts/json/g900_slot_pair_boundary_carriers_admission_v0.1.json,False,False,False,False,False,True
artifacts/json/g900_source_side_gap_9_11_anchor_split_audit_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_source_side_gap_law_9_11_audit_001.v1.json,False,True,False,False,True,False
artifacts/json/g900_total_support_failure_family_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_transition_length_minimal_origin_audit_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_transport_admission_hypothesis_provenance_audit_023.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_candidate_family_census_014.v1.json,False,True,True,True,False,True
artifacts/json/g900_transport_candidate_family_census_scaffold_013.v1.json,False,True,True,True,False,True
artifacts/json/g900_transport_census_phase_checkpoint_017.v1.json,True,True,True,True,True,True
artifacts/json/g900_transport_choice_apparatus_checkpoint_031.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_apparatus_theorem_note_032.v1.json,True,True,True,False,True,True
artifacts/json/g900_transport_choice_construction_context_family_census_034.v1.json,True,True,True,True,True,True
artifacts/json/g900_transport_choice_constructive_provenance_search_033.v1.json,False,True,True,True,False,True
artifacts/json/g900_transport_choice_f0001_anchor_source_probe_051.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_fingerprint_cause_probe_040.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_generator_definition_flag_056.v1.json,True,True,True,False,True,True
artifacts/json/g900_transport_choice_f0001_missing_prefix_edge_probe_037.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_permission_denial_probe_038.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_pre_role_seam_source_search_055.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_return_hub_seam_source_probe_054.v1.json,True,True,True,False,True,True
artifacts/json/g900_transport_choice_f0001_root_smoke_generator_probe_045.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_root_smoke_signature_mechanism_probe_044.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_root_smoke_slot14_anatomy_046.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_seam_plateau_checkpoint_057.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_shell_cluster_rule_probe_042.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_shell_cluster_source_field_probe_043.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_shell_position_cause_probe_041.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_slot14_boundary14_origin_probe_048.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_slot14_boundary_carrier_choice_probe_049.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_slot14_edgehit18_origin_probe_047.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_slot14_hub_leaf_source_probe_050.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_source_rule_probe_036.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_strength_native_probe_052.v1.json,False,True,True,False,False,True
artifacts/json/g900_transport_choice_f0001_visibility_source_anatomy_039.v1.json,False,True,True,True,False,True
